Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
9,0,0,15,rep1_FOV3.tif
10,7,2,15,rep1_FOV3.tif
11,0,0,15,rep1_FOV3.tif
12,0,0,15,rep1_FOV3.tif
13,0,0,15,rep1_FOV3.tif
14,0,0,15,rep1_FOV3.tif
1,0,0,16,rep1_FOV3.tif
2,0,0,16,rep1_FOV3.tif
3,9,2,16,rep1_FOV3.tif
4,0,0,16,rep1_FOV3.tif
5,0,0,16,rep1_FOV3.tif
6,0,0,16,rep1_FOV3.tif
7,0,0,16,rep1_FOV3.tif
8,0,0,16,rep1_FOV3.tif
9,0,0,16,rep1_FOV3.tif
10,5,0,16,rep1_FOV3.tif
11,0,0,16,rep1_FOV3.tif
12,0,0,16,rep1_FOV3.tif
13,1,0,16,rep1_FOV3.tif
14,0,0,16,rep1_FOV3.tif
1,0,0,17,rep1_FOV3.tif
2,0,0,17,rep1_FOV3.tif
3,5,1,17,rep1_FOV3.tif
4,0,0,17,rep1_FOV3.tif
5,0,0,17,rep1_FOV3.tif
6,0,0,17,rep1_FOV3.tif
7,0,0,17,rep1_FOV3.tif
8,0,0,17,rep1_FOV3.tif
9,0,0,17,rep1_FOV3.tif
10,0,0,17,rep1_FOV3.tif
11,0,0,17,rep1_FOV3.tif
12,0,0,17,rep1_FOV3.tif
13,3,1,17,rep1_FOV3.tif
14,0,0,17,rep1_FOV3.tif
1,0,0,18,rep1_FOV3.tif
2,0,0,18,rep1_FOV3.tif
3,4,0,18,rep1_FOV3.tif
4,0,0,18,rep1_FOV3.tif
5,3,1,18,rep1_FOV3.tif
6,0,0,18,rep1_FOV3.tif
7,0,0,18,rep1_FOV3.tif
8,0,0,18,rep1_FOV3.tif
9,0,0,18,rep1_FOV3.tif
10,0,0,18,rep1_FOV3.tif
11,0,0,18,rep1_FOV3.tif
12,0,0,18,rep1_FOV3.tif
13,2,2,18,rep1_FOV3.tif
14,0,0,18,rep1_FOV3.tif
1,0,0,19,rep1_FOV3.tif
2,0,0,19,rep1_FOV3.tif
3,5,0,19,rep1_FOV3.tif
4,0,0,19,rep1_FOV3.tif
5,4,2,19,rep1_FOV3.tif
6,0,0,19,rep1_FOV3.tif
7,0,0,19,rep1_FOV3.tif
8,0,0,19,rep1_FOV3.tif
9,0,0,19,rep1_FOV3.tif
10,0,0,19,rep1_FOV3.tif
11,0,0,19,rep1_FOV3.tif
12,0,0,19,rep1_FOV3.tif
13,3,2,19,rep1_FOV3.tif
14,0,0,19,rep1_FOV3.tif
1,0,0,20,rep1_FOV3.tif
2,0,0,20,rep1_FOV3.tif
3,3,1,20,rep1_FOV3.tif
4,0,0,20,rep1_FOV3.tif
5,4,2,20,rep1_FOV3.tif
6,0,0,20,rep1_FOV3.tif
7,0,0,20,rep1_FOV3.tif
8,0,0,20,rep1_FOV3.tif
9,0,0,20,rep1_FOV3.tif
10,0,0,20,rep1_FOV3.tif
11,0,0,20,rep1_FOV3.tif
12,0,0,20,rep1_FOV3.tif
13,0,0,20,rep1_FOV3.tif
14,0,0,20,rep1_FOV3.tif
1,1,1,0,rep1_FOV2.tif
2,1,0,0,rep1_FOV2.tif
3,2,1,0,rep1_FOV2.tif
4,5,0,0,rep1_FOV2.tif
5,0,2,0,rep1_FOV2.tif
6,7,1,0,rep1_FOV2.tif
7,3,5,0,rep1_FOV2.tif
8,9,1,0,rep1_FOV2.tif
9,1,1,0,rep1_FOV2.tif
10,2,0,0,rep1_FOV2.tif
1,2,1,1,rep1_FOV2.tif
2,0,0,1,rep1_FOV2.tif
3,3,1,1,rep1_FOV2.tif
4,3,0,1,rep1_FOV2.tif
5,0,1,1,rep1_FOV2.tif
6,6,2,1,rep1_FOV2.tif
7,6,3,1,rep1_FOV2.tif
8,7,2,1,rep1_FOV2.tif
9,3,2,1,rep1_FOV2.tif
10,3,2,1,rep1_FOV2.tif
1,3,3,2,rep1_FOV2.tif
2,0,0,2,rep1_FOV2.tif
3,0,0,2,rep1_FOV2.tif
4,1,0,2,rep1_FOV2.tif
5,0,1,2,rep1_FOV2.tif
6,3,3,2,rep1_FOV2.tif
7,6,2,2,rep1_FOV2.tif
8,5,1,2,rep1_FOV2.tif
9,4,2,2,rep1_FOV2.tif
10,3,2,2,rep1_FOV2.tif
1,3,2,3,rep1_FOV2.tif
2,0,1,3,rep1_FOV2.tif
3,1,0,3,rep1_FOV2.tif
4,0,3,3,rep1_FOV2.tif
5,3,6,3,rep1_FOV2.tif
6,10,3,3,rep1_FOV2.tif
7,6,2,3,rep1_FOV2.tif
8,2,4,3,rep1_FOV2.tif
9,6,2,3,rep1_FOV2.tif
10,3,1,3,rep1_FOV2.tif
1,5,3,4,rep1_FOV2.tif
2,0,1,4,rep1_FOV2.tif
3,3,1,4,rep1_FOV2.tif
4,2,2,4,rep1_FOV2.tif
5,2,4,4,rep1_FOV2.tif
6,9,1,4,rep1_FOV2.tif
7,6,4,4,rep1_FOV2.tif
8,7,2,4,rep1_FOV2.tif
9,7,2,4,rep1_FOV2.tif
10,5,4,4,rep1_FOV2.tif
1,3,2,5,rep1_FOV2.tif
2,0,2,5,rep1_FOV2.tif
3,6,0,5,rep1_FOV2.tif
4,1,3,5,rep1_FOV2.tif
5,3,4,5,rep1_FOV2.tif
6,13,6,5,rep1_FOV2.tif
7,9,4,5,rep1_FOV2.tif
8,9,1,5,rep1_FOV2.tif
9,3,2,5,rep1_FOV2.tif
10,6,4,5,rep1_FOV2.tif
1,4,2,6,rep1_FOV2.tif
2,0,2,6,rep1_FOV2.tif
3,5,0,6,rep1_FOV2.tif
4,1,2,6,rep1_FOV2.tif
5,4,3,6,rep1_FOV2.tif
6,8,5,6,rep1_FOV2.tif
7,11,3,6,rep1_FOV2.tif
8,7,1,6,rep1_FOV2.tif
9,4,1,6,rep1_FOV2.tif
10,2,0,6,rep1_FOV2.tif
1,4,2,7,rep1_FOV2.tif
2,0,0,7,rep1_FOV2.tif
3,3,2,7,rep1_FOV2.tif
4,3,1,7,rep1_FOV2.tif
5,1,1,7,rep1_FOV2.tif
6,8,3,7,rep1_FOV2.tif
7,6,3,7,rep1_FOV2.tif
8,5,1,7,rep1_FOV2.tif
9,4,1,7,rep1_FOV2.tif
10,3,0,7,rep1_FOV2.tif
1,2,1,8,rep1_FOV2.tif
2,0,0,8,rep1_FOV2.tif
3,0,0,8,rep1_FOV2.tif
4,0,2,8,rep1_FOV2.tif
5,3,5,8,rep1_FOV2.tif
6,10,1,8,rep1_FOV2.tif
7,3,3,8,rep1_FOV2.tif
8,6,0,8,rep1_FOV2.tif
9,3,2,8,rep1_FOV2.tif
10,6,0,8,rep1_FOV2.tif
1,6,2,9,rep1_FOV2.tif
2,0,0,9,rep1_FOV2.tif
3,0,0,9,rep1_FOV2.tif
4,0,5,9,rep1_FOV2.tif
5,8,4,9,rep1_FOV2.tif
6,11,0,9,rep1_FOV2.tif
7,1,3,9,rep1_FOV2.tif
8,7,2,9,rep1_FOV2.tif
9,4,2,9,rep1_FOV2.tif
10,5,0,9,rep1_FOV2.tif
1,5,1,10,rep1_FOV2.tif
2,0,0,10,rep1_FOV2.tif
3,0,0,10,rep1_FOV2.tif
4,0,3,10,rep1_FOV2.tif
5,5,2,10,rep1_FOV2.tif
6,7,0,10,rep1_FOV2.tif
7,1,2,10,rep1_FOV2.tif
8,7,1,10,rep1_FOV2.tif
